GP,W,L,OTL,PTS,ROW,SOW,SOL,HOME,AWAY,GF,GA,DIFF,L10,STRK,Team,Year,RW
82,44,31,7,95,42,2,3,,,234,212,+22,6-3-1,L2,x -- BOS Boston Bruins,2016,
82,40,27,15,95,39,1,8,,,251,242,+9,6-4-0,L1,x -- TOR Toronto Maple Leafs,2016,
82,45,33,4,94,41,4,2,,,226,221,+5,4-6-0,L1,x -- CGY Calgary Flames,2016,
82,41,29,12,94,39,2,4,,,240,224,+16,5-4-1,L1,x -- NSH Nashville Predators,2016,
82,41,29,12,94,39,2,4,,,241,242,-1,7-3-0,W6,e -- NYI New York Islanders,2016,
82,42,30,10,94,38,4,3,,,234,227,+7,8-1-1,W3,e -- TB Tampa Bay Lightning,2016,
82,39,33,10,88,32,7,5,,,219,236,-17,6-2-2,L1,e -- PHI Philadelphia Flyers,2016,
82,40,35,7,87,37,3,1,,,249,256,-7,8-2-0,W7,e -- WPG Winnipeg Jets,2016,
82,36,31,15,87,33,3,6,,,215,236,-21,4-4-2,W1,e -- CAR Carolina Hurricanes,2016,
82,39,35,8,86,37,2,4,,,201,205,-4,5-4-1,L1,e -- LA Los Angeles Kings,2016,
82,35,36,11,81,30,5,6,,,210,237,-27,4-6-0,W2,e -- FLA Florida Panthers,2016,
82,34,37,11,79,33,1,2,,,223,262,-39,5-4-1,W1,e -- DAL Dallas Stars,2016,
82,33,36,13,79,24,9,0,,,207,244,-37,4-4-2,W1,e -- DET Detroit Red Wings,2016,
82,33,37,12,78,31,2,6,,,201,237,-36,4-6-0,L2,e -- BUF Buffalo Sabres,2016,
82,28,40,14,70,25,3,3,,,183,244,-61,1-7-2,L3,e -- NJ New Jersey Devils,2016,
82,30,42,10,70,24,6,2,,,197,260,-63,4-5-1,L1,e -- ARI Arizona Coyotes,2016,
82,30,43,9,69,26,4,2,,,182,243,-61,1-9-0,L8,e -- VAN Vancouver Canucks,2016,
82,22,56,4,48,21,1,2,,,166,278,-112,2-7-1,L3,e -- COL Colorado Avalanche,2016,
82,53,18,11,117,47,6,7,,,267,211,+56,5-4-1,W2,* -- NSH Nashville Predators,2017,
82,52,20,10,114,48,4,2,,,277,218,+59,9-1-0,W5,x -- WPG Winnipeg Jets,2017,
82,54,23,5,113,48,6,2,,,296,236,+60,5-4-1,L1,z -- TB Tampa Bay Lightning,2017,
82,50,20,12,112,47,3,3,,,270,214,+56,5-3-2,L1,x -- BOS Boston Bruins,2017,
82,51,24,7,109,47,4,3,,,272,228,+44,5-3-2,L2,y -- VGK Vegas Golden Knights,2017,
82,49,26,7,105,46,3,1,,,259,239,+20,8-2-0,W1,y -- WSH Washington Capitals,2017,
82,49,26,7,105,42,7,2,,,277,232,+45,6-4-0,W1,x -- TOR Toronto Maple Leafs,2017,
82,45,26,11,101,42,3,3,,,253,232,+21,4-2-4,W1,x -- MIN Minnesota Wild,2017,
82,44,25,13,101,40,4,7,,,235,216,+19,8-1-1,W5,x -- ANA Anaheim Ducks,2017,
82,47,29,6,100,45,2,2,,,272,250,+22,6-3-1,W2,x -- PIT Pittsburgh Penguins,2017,
82,45,27,10,100,40,5,3,,,252,229,+23,5-4-1,L1,x -- SJ San Jose Sharks,2017,
82,45,29,8,98,43,2,1,,,239,203,+36,6-2-2,L1,x -- LA Los Angeles Kings,2017,
82,42,26,14,98,40,2,7,,,251,243,+8,6-1-3,W2,x -- PHI Philadelphia Flyers,2017,
82,44,29,9,97,39,5,4,,,248,244,+4,7-2-1,L1,x -- NJ New Jersey Devils,2017,
82,45,30,7,97,39,6,4,,,242,230,+12,6-2-2,L2,x -- CBJ Columbus Blue Jackets,2017,
82,44,30,8,96,41,3,3,,,248,246,+2,7-2-1,W5,e -- FLA Florida Panthers,2017,
82,43,30,9,95,41,2,1,,,257,237,+20,4-5-1,W1,x -- COL Colorado Avalanche,2017,
82,44,32,6,94,41,3,0,,,226,222,+4,5-4-1,L1,e -- STL St. Louis Blues,2017,
82,42,32,8,92,38,4,3,,,235,225,+10,4-6-0,W1,e -- DAL Dallas Stars,2017,
82,37,35,10,84,35,2,5,,,218,248,-30,2-8-0,W1,e -- CGY Calgary Flames,2017,
82,36,35,11,83,33,3,3,,,228,256,-28,5-5-0,W1,e -- CAR Carolina Hurricanes,2017,
82,35,37,10,80,32,3,3,,,264,296,-32,5-5-0,W3,e -- NYI New York Islanders,2017,
82,36,40,6,78,31,5,1,,,234,263,-29,5-4-1,W2,e -- EDM Edmonton Oilers,2017,
82,34,39,9,77,31,3,5,,,231,268,-37,2-7-1,L3,e -- NYR New York Rangers,2017,
82,33,39,10,76,32,1,2,,,229,256,-27,3-5-2,L2,e -- CHI Chicago Blackhawks,2017,
82,31,40,11,73,31,0,5,,,218,264,-46,6-2-2,L1,e -- VAN Vancouver Canucks,2017,
82,30,39,13,73,25,5,1,,,217,255,-38,4-4-2,L3,e -- DET Detroit Red Wings,2017,
82,29,40,13,71,27,2,6,,,209,264,-55,3-6-1,L1,e -- MTL Montreal Canadiens,2017,
82,29,41,12,70,27,2,5,,,208,256,-48,5-4-1,L2,e -- ARI Arizona Coyotes,2017,
82,28,43,11,67,26,2,7,,,221,291,-70,2-8-0,L2,e -- OTT Ottawa Senators,2017,
82,25,45,12,62,24,1,2,,,199,280,-81,2-8-0,L4,e -- BUF Buffalo Sabres,2017,
82,62,16,4,128,56,6,1,,,325,222,+103,7-3-0,W2,* -- TB Tampa Bay Lightning,2018,
82,50,25,7,107,50,0,4,,,289,227,+62,6-4-0,L2,z -- CGY Calgary Flames,2018,
82,49,24,9,107,47,2,3,,,259,215,+44,6-4-0,L1,x -- BOS Boston Bruins,2018,
82,48,26,8,104,44,4,1,,,278,249,+29,6-3-1,L1,y -- WSH Washington Capitals,2018,
82,48,27,7,103,43,5,5,,,228,196,+32,6-4-0,W2,x -- NYI New York Islanders,2018,
82,46,27,9,101,46,0,3,,,289,261,+28,3-6-1,W2,x -- SJ San Jose Sharks,2018,
82,46,28,8,100,46,0,2,,,286,251,+35,3-4-3,L3,x -- TOR Toronto Maple Leafs,2018,
82,47,29,6,100,43,4,2,,,240,214,+26,7-2-1,W3,y -- NSH Nashville Predators,2018,
82,44,26,12,100,42,2,3,,,273,241,+32,5-2-3,L1,x -- PIT Pittsburgh Penguins,2018,
82,47,30,5,99,45,2,1,,,272,244,+28,4-5-1,W1,x -- WPG Winnipeg Jets,2018,
82,46,29,7,99,44,2,2,,,245,223,+22,6-4-0,W3,x -- CAR Carolina Hurricanes,2018,
82,45,28,9,99,42,3,3,,,247,223,+24,8-1-1,W2,x -- STL St. Louis Blues,2018,
82,47,31,4,98,45,2,1,,,258,232,+26,7-3-0,W2,x -- CBJ Columbus Blue Jackets,2018,
82,44,30,8,96,41,3,0,,,249,236,+13,7-2-1,W1,e -- MTL Montreal Canadiens,2018,
82,43,32,7,93,42,1,2,,,210,202,+8,6-3-1,W1,x -- DAL Dallas Stars,2018,
82,43,32,7,93,40,3,2,,,249,230,+19,3-5-2,L2,x -- VGK Vegas Golden Knights,2018,
82,38,30,14,90,36,2,2,,,260,246,+14,7-1-2,L1,x -- COL Colorado Avalanche,2018,
82,39,35,8,86,35,4,3,,,213,223,-10,3-5-2,L1,e -- ARI Arizona Coyotes,2018,
82,36,32,14,86,33,3,7,,,267,280,-13,4-4-2,L2,e -- FLA Florida Panthers,2018,
82,36,34,12,84,33,3,1,,,270,292,-22,4-4-2,L1,e -- CHI Chicago Blackhawks,2018,
82,37,36,9,83,36,1,4,,,211,237,-26,3-6-1,L2,e -- MIN Minnesota Wild,2018,
82,37,37,8,82,34,3,1,,,244,281,-37,2-8-0,L5,e -- PHI Philadelphia Flyers,2018,
82,35,36,11,81,29,6,6,,,225,254,-29,5-4-1,L2,e -- VAN Vancouver Canucks,2018,
82,35,37,10,80,32,3,3,,,199,251,-52,7-2-1,W3,e -- ANA Anaheim Ducks,2018,
82,35,38,9,79,32,3,3,,,232,274,-42,3-5-2,W1,e -- EDM Edmonton Oilers,2018,
82,32,36,14,78,26,6,5,,,227,272,-45,4-5-1,W1,e -- NYR New York Rangers,2018,
82,33,39,10,76,28,5,3,,,226,271,-45,2-7-1,W2,e -- BUF Buffalo Sabres,2018,
82,32,40,10,74,29,3,5,,,227,277,-50,7-3-0,L2,e -- DET Detroit Red Wings,2018,
82,31,41,10,72,28,3,4,,,222,275,-53,4-5-1,W1,e -- NJ New Jersey Devils,2018,
82,31,42,9,71,28,3,4,,,202,263,-61,6-3-1,W1,e -- LA Los Angeles Kings,2018,
82,29,47,6,64,29,0,1,,,242,302,-60,4-6-0,L2,e -- OTT Ottawa Senators,2018,
70,44,14,12,100,44,0,7,--,--,227,174,+53,7-3-0,W1,* -- BOS Boston Bruins,2019,38
71,42,19,10,94,40,2,3,--,--,225,193,+32,8-2-0,W1,x -- STL St. Louis Blues,2019,33
70,42,20,8,92,41,1,1,--,--,237,191,+46,7-2-1,W1,x -- COL Colorado Avalanche,2019,37
70,43,21,6,92,41,2,1,--,--,245,195,+50,3-6-1,L2,x -- TB Tampa Bay Lightning,2019,35
69,41,20,8,90,37,4,3,--,--,240,215,+25,4-3-3,L1,x -- WSH Washington Capitals,2019,31
69,41,21,7,89,36,5,5,--,--,232,196,+36,9-1-0,L1,x -- PHI Philadelphia Flyers,2019,31
69,40,23,6,86,37,3,0,--,--,224,196,+28,3-7-0,W1,x -- PIT Pittsburgh Penguins,2019,29
71,39,24,8,86,36,3,2,--,--,227,211,+16,8-2-0,W2,x -- VGK Vegas Golden Knights,2019,30
71,37,25,9,83,35,2,2,--,--,225,217,+8,5-3-2,L2,x -- EDM Edmonton Oilers,2019,31
69,37,24,8,82,35,2,3,--,--,180,177,+3,3-7-2,L6,x -- DAL Dallas Stars,2019,26
68,38,25,5,81,33,5,0,--,--,222,193,+29,5-4-1,W3,x -- CAR Carolina Hurricanes,2019,27
70,36,25,9,81,35,1,5,--,--,238,227,+11,5-4-1,W1,x -- TOR Toronto Maple Leafs,2019,28
70,33,22,15,81,33,0,4,--,--,180,187,-7,3-4-3,W1,x -- CBJ Columbus Blue Jackets,2019,25
68,35,23,10,80,32,3,3,--,--,192,193,-1,2-4-4,L7,x -- NYI New York Islanders,2019,24
71,37,28,6,80,34,3,2,--,--,216,203,+13,6-3-1,W4,x -- WPG Winnipeg Jets,2019,30
70,37,28,5,79,36,1,2,--,--,234,222,+12,5-4-1,L1,x -- NYR New York Rangers,2019,31
70,36,27,7,79,30,6,1,16-13-4,20-14-3,210,215,-5,6-3-1,L1,x -- CGY Calgary Flames,2019,25
69,35,26,8,78,32,3,4,--,--,231,228,+3,4-4-2,W2,x -- FLA Florida Panthers,2019,30
69,35,26,8,78,32,3,3,--,--,215,217,-2,6-3-1,W3,x -- NSH Nashville Predators,2019,28
69,36,27,6,78,32,4,3,--,--,228,217,+11,4-5-1,W1,x -- VAN Vancouver Canucks,2019,27
69,35,27,7,77,33,2,3,--,--,220,220,0,7-3-0,W1,x -- MIN Minnesota Wild,2019,30
70,33,29,8,74,28,5,4,--,--,195,187,+8,5-5-0,L2,x -- ARI Arizona Coyotes,2019,26
70,32,30,8,72,28,4,4,--,--,212,218,-6,6-4-0,W1,x -- CHI Chicago Blackhawks,2019,23
71,31,31,9,71,27,4,1,14-17-6,17-14-3,212,221,-9,4-5-1,L3,x -- MTL Montreal Canadiens,2019,19
69,30,31,8,68,28,2,2,--,--,195,217,-22,3-7-0,W1,e -- BUF Buffalo Sabres,2019,22
69,28,29,12,68,24,4,6,--,--,189,230,-41,6-2-2,L1,e -- NJ New Jersey Devils,2019,22
71,29,33,9,67,24,5,1,--,--,187,226,-39,5-3-2,L1,e -- ANA Anaheim Ducks,2019,20
70,29,35,6,64,28,1,3,--,--,178,212,-34,8-2-1,W7,e -- LA Los Angeles Kings,2019,21
70,29,36,5,63,27,2,1,--,--,182,226,-44,3-6-1,L4,e -- SJ San Jose Sharks,2019,22
71,25,34,12,62,24,1,5,--,--,191,243,-52,4-6-1,L2,e -- OTT Ottawa Senators,2019,18
71,17,49,5,39,14,3,2,--,--,145,267,-122,3-6-1,L1,e -- DET Detroit Red Wings,2019,13
56,39,13,4,82,39,0,1,22-4-2,17-9-2,197,133,+64,8-2-0,W5,* -- COL Colorado Avalanche,2020,35
56,40,14,2,82,39,1,2,21-5-2,19-9-0,191,124,+67,7-3-0,W1,x -- VGK Vegas Golden Knights,2020,30
56,36,12,8,80,32,4,2,20-3-5,16-9-3,179,136,+43,5-2-3,L3,y -- CAR Carolina Hurricanes,2020,27
56,37,14,5,79,36,1,2,20-5-3,17-9-2,189,153,+36,8-2-0,W6,x -- FLA Florida Panthers,2020,26
56,35,14,7,77,34,1,0,18-7-3,17-7-4,187,148,+39,7-1-2,L2,y -- TOR Toronto Maple Leafs,2020,29
56,37,16,3,77,34,3,1,22-4-2,15-12-1,196,156,+40,8-2-0,W3,y -- PIT Pittsburgh Penguins,2020,29
56,36,15,5,77,33,3,2,17-8-3,19-7-2,191,163,+28,7-2-1,W2,x -- WSH Washington Capitals,2020,29
56,36,17,3,75,35,1,2,21-7-0,15-10-3,181,147,+34,6-3-1,L3,x -- TB Tampa Bay Lightning,2020,29
56,35,16,5,75,34,1,1,21-5-2,14-11-3,181,160,+21,5-3-2,L2,x -- MIN Minnesota Wild,2020,27
56,33,16,7,73,29,4,2,18-7-3,15-9-4,168,136,+32,6-3-1,L1,x -- BOS Boston Bruins,2020,25
56,35,19,2,72,35,0,0,16-12-0,19-7-2,183,154,+29,7-3-0,L1,x -- EDM Edmonton Oilers,2020,31
56,32,17,7,71,28,4,3,21-4-3,11-13-4,156,128,+28,3-4-3,L1,x -- NYI New York Islanders,2020,24
56,31,23,2,64,26,5,0,18-10-0,13-13-2,156,154,+2,7-2-1,W2,x -- NSH Nashville Predators,2020,21
56,30,23,3,63,30,0,2,13-13-2,17-10-1,170,154,+16,3-7-0,W2,x -- WPG Winnipeg Jets,2020,24
56,27,20,9,63,25,2,3,12-11-5,15-9-4,169,170,-1,6-1-3,W3,x -- STL St. Louis Blues,2020,19
56,27,23,6,60,26,1,2,14-11-3,13-12-3,177,157,+20,4-6-0,W1,e -- NYR New York Rangers,2020,24
56,23,19,14,60,21,2,6,13-7-8,10-12-6,158,154,+4,4-4-2,W1,e -- DAL Dallas Stars,2020,17
56,24,21,11,59,23,1,3,13-11-4,11-10-7,159,168,-9,4-4-2,L5,x -- MTL Montreal Canadiens,2020,20
56,25,23,8,58,22,3,4,12-12-4,13-11-4,163,201,-38,4-5-1,W1,e -- PHI Philadelphia Flyers,2020,17
56,26,27,3,55,25,1,1,15-12-1,11-15-2,156,161,-5,6-4-0,W1,e -- CGY Calgary Flames,2020,22
56,24,25,7,55,22,2,2,13-11-4,11-14-3,161,186,-25,3-5-2,L1,e -- CHI Chicago Blackhawks,2020,15
56,24,26,6,54,21,3,2,12-12-4,12-14-2,153,176,-23,4-5-1,W2,e -- ARI Arizona Coyotes,2020,19
56,23,28,5,51,21,2,1,14-10-4,9-18-1,157,190,-33,7-2-1,W1,e -- OTT Ottawa Senators,2020,18
56,23,29,4,50,20,3,1,13-12-3,10-17-1,151,188,-37,4-5-1,L1,e -- VAN Vancouver Canucks,2020,17
56,21,28,7,49,20,1,1,9-14-5,12-14-2,143,170,-27,3-6-1,L5,e -- LA Los Angeles Kings,2020,19
56,21,28,7,49,16,5,3,11-13-4,10-15-3,151,199,-48,3-5-2,L3,e -- SJ San Jose Sharks,2020,15
56,19,27,10,48,17,2,3,12-11-5,7-16-5,127,171,-44,3-3-4,L1,e -- DET Detroit Red Wings,2020,16
56,18,26,12,48,15,3,3,11-9-8,7-17-4,137,187,-50,3-4-3,W1,e -- CBJ Columbus Blue Jackets,2020,12
56,19,30,7,45,19,0,5,7-18-3,12-12-4,145,194,-49,5-4-1,L2,e -- NJ New Jersey Devils,2020,15
56,17,30,9,43,15,2,2,6-18-4,11-12-5,126,179,-53,3-5-2,L2,e -- ANA Anaheim Ducks,2020,11
56,15,34,7,37,11,4,3,8-16-4,7-18-3,138,199,-61,3-7-0,L2,e -- BUF Buffalo Sabres,2020,11
82,58,18,6,122,55,3,4,34-7-0,24-11-6,340,246,+94,7-3-0,L1,* -- FLA Florida Panthers,2021,42
82,56,19,7,119,52,4,2,32-5-4,24-14-3,312,234,+78,4-5-1,L2,z -- COL Colorado Avalanche,2021,46
82,54,20,8,116,53,1,2,29-8-4,25-12-4,278,202,+76,8-2-0,W6,y -- CAR Carolina Hurricanes,2021,47
82,54,21,7,115,51,3,1,31-8-2,23-13-5,315,253,+62,7-2-1,W3,x -- TOR Toronto Maple Leafs,2021,45
82,53,22,7,113,48,5,4,31-8-2,22-14-5,310,253,+57,8-1-1,W2,x -- MIN Minnesota Wild,2021,37
82,50,21,11,111,48,2,2,25-9-7,25-12-4,293,208,+85,6-2-2,L2,y -- CGY Calgary Flames,2021,44
82,51,23,8,110,49,2,5,27-8-6,24-15-2,287,233,+54,7-3-0,W1,x -- TB Tampa Bay Lightning,2021,39
82,52,24,6,110,48,4,3,27-10-4,25-14-2,254,207,+47,6-4-0,W1,x -- NYR New York Rangers,2021,44
82,49,22,11,109,47,2,3,26-10-5,23-12-6,311,242,+69,7-2-1,L2,x -- STL St. Louis Blues,2021,43
82,51,26,5,107,49,2,2,26-13-2,25-13-3,254,220,+34,6-4-0,L1,x -- BOS Boston Bruins,2021,40
82,49,27,6,104,44,5,1,28-12-1,21-15-5,290,252,+38,7-2-1,W3,x -- EDM Edmonton Oilers,2021,38
82,46,25,11,103,43,3,7,23-13-5,23-12-6,272,229,+43,5-4-1,W1,x -- PIT Pittsburgh Penguins,2021,37
82,44,26,12,100,39,5,3,19-16-6,25-10-6,275,245,+30,4-4-2,L4,x -- WSH Washington Capitals,2021,35
82,44,27,11,99,40,4,4,21-16-4,23-11-7,239,236,+3,6-3-1,L1,x -- LA Los Angeles Kings,2021,35
82,46,30,6,98,41,5,2,27-10-4,19-20-2,238,246,-8,5-3-2,W1,x -- DAL Dallas Stars,2021,31
82,45,30,7,97,41,4,2,25-14-2,20-16-5,266,252,+14,4-4-2,L1,x -- NSH Nashville Predators,2021,35
82,43,31,8,94,39,4,4,22-15-4,21-16-4,266,248,+18,4-2-4,W1,e -- VGK Vegas Golden Knights,2021,34
82,40,30,12,92,37,3,5,20-14-7,20-16-5,249,236,+13,6-2-2,L1,e -- VAN Vancouver Canucks,2021,32
82,39,32,11,89,37,2,4,23-15-3,16-17-8,252,257,-5,6-4-0,W4,e -- WPG Winnipeg Jets,2021,32
82,37,35,10,84,35,2,6,20-16-5,17-19-5,231,237,-6,3-6-1,L1,e -- NYI New York Islanders,2021,34
82,37,38,7,81,33,4,3,21-15-5,16-23-2,262,299,-37,4-5-1,L1,e -- CBJ Columbus Blue Jackets,2021,26
82,32,37,13,77,29,3,3,18-18-5,14-19-8,214,264,-50,3-4-3,L3,e -- SJ San Jose Sharks,2021,22
82,31,37,14,76,27,4,5,17-19-5,14-18-9,232,271,-39,3-5-2,L1,e -- ANA Anaheim Ducks,2021,22
82,32,39,11,75,29,3,3,17-18-6,15-21-5,232,290,-58,6-4-0,W1,e -- BUF Buffalo Sabres,2021,25
82,32,40,10,74,29,3,2,18-16-7,14-24-3,230,312,-82,4-6-0,W1,e -- DET Detroit Red Wings,2021,21
82,33,42,7,73,30,3,2,15-22-4,18-20-3,227,266,-39,7-2-1,W1,e -- OTT Ottawa Senators,2021,26
82,28,42,12,68,22,6,2,14-21-6,14-21-6,219,291,-72,4-5-1,L1,e -- CHI Chicago Blackhawks,2021,16
82,27,46,9,63,24,3,5,16-20-5,11-26-4,248,307,-59,2-5-3,L6,e -- NJ New Jersey Devils,2021,19
82,25,46,11,61,24,1,4,14-21-6,11-25-5,211,298,-87,2-8-0,L3,e -- PHI Philadelphia Flyers,2021,20
82,27,49,6,60,24,3,1,16-22-3,11-27-3,216,285,-69,4-6-0,L1,e -- SEA Seattle Kraken,2021,23
82,25,50,7,57,24,1,4,11-27-3,14-23-4,207,313,-106,3-5-2,W3,e -- ARI Arizona Coyotes,2021,18
82,22,49,11,55,19,3,2,11-26-4,11-23-7,221,319,-98,2-8-0,W2,e -- MTL Montreal Canadiens,2021,16
